Identity,lat,long,alti,speed,TIME,TYPE
1885,10.36548,16.81266,7056,292,1668452400,Type145
7956,12.23065,15.63342,779,280,1668452400,TypeR
7185,12.22541,15.63179,779,280,1668452400,TypeT
6137,12.23057,15.63135,779,280,1668452400,TypeR
6419,12.23767,15.62746,779,280,1668452400,TypeT
5656,12.23094,15.63294,779,280,1668452400,Type29
8411,12.22829,15.62943,779,280,1668452400,TypeR
8903,12.23601,15.6311,779,280,1668452400,TypeM
5375,12.23096,15.63364,779,280,1668452400,TypeR
3233,12.22553,15.62669,779,280,1668452400,Type2000
4526,12.22982,15.63806,779,280,1668452400,TypeE
3228,9.5631,15.00176,3974,305,1668452400,Type30
5421,9.55244,15.00092,3974,305,1668452400,Type29
3321,9.55847,15.00776,3974,305,1668452400,TypeE
8099,9.55961,15.0076,3974,305,1668452400,TypeT
7759,9.55911,15.00148,3974,305,1668452400,Unknown
6490,9.56088,15.00347,3974,305,1668452400,TypeR
7080,9.55885,15.00617,3974,305,1668452400,TypeR
6653,9.56255,15.00462,3974,305,1668452400,TypeR
5514,9.55699,15.00721,3974,305,1668452400,Type145
4124,9.56294,15.00596,3974,305,1668452400,TypeM
4365,9.54957,15.00415,3974,305,1668452400,TypeE
5474,9.55968,15.00455,3974,305,1668452400,Type29
5714,9.55113,15.00943,3974,305,1668452400,TypeR
4387,9.55892,15.00464,3974,305,1668452400,Type2000
5975,9.55721,14.99943,3974,305,1668452400,TypeF
3421,12.22959,15.62967,779,280,1668452400,TypeT
5073,12.23299,15.6328,779,280,1668452400,Unknown
5281,12.2248,15.63056,779,280,1668452400,TypeE
5349,12.23136,15.62905,779,280,1668452400,Type30
2227,12.2371,15.63275,779,280,1668452400,Type145
1452,12.23059,15.63331,779,280,1668452400,TypeM
8748,12.22671,15.63067,779,280,1668452400,Type2000
4220,12.22887,15.63213,779,280,1668452400,Unknown
7504,12.22759,15.63355,779,280,1668452400,Type29
8126,12.23372,15.62574,779,280,1668452400,TypeR
1512,12.23304,15.63401,779,280,1668452400,TypeE
4676,12.23011,15.63271,779,280,1668452400,Type29
8865,12.22335,15.63576,779,280,1668452400,TypeE
4858,12.22921,15.62946,779,280,1668452400,TypeR
8881,12.22905,15.62652,779,280,1668452400,TypeM
3552,12.23106,15.63202,779,280,1668452400,TypeF
2355,9.55359,15.01629,3974,305,1668452400,Type30
2954,12.23184,15.62986,779,280,1668452400,TypeT
4314,12.22923,15.6323,779,280,1668452400,Type30
8788,12.2307,15.63559,779,280,1668452400,TypeM
8699,12.22968,15.62863,779,280,1668452400,TypeR
3014,12.22615,15.6277,779,280,1668452400,TypeR
4957,12.22935,15.63389,779,280,1668452400,Unknown
1406,12.2308,15.62866,779,280,1668452400,TypeR
2531,10.85622,15.92757,3965,282,1668452401,Type2000
3123,10.85616,15.93427,3965,282,1668452401,Type30
3358,10.86461,15.93508,3965,282,1668452401,TypeE
2713,10.85872,15.93526,3965,282,1668452401,TypeE
6517,10.86382,15.92905,3965,282,1668452401,TypeF
2273,10.85492,15.93653,3965,282,1668452401,TypeM
7963,10.8614,15.94056,3965,282,1668452401,Unknown
5190,10.85722,15.9322,3965,282,1668452401,Unknown
1374,10.85762,15.94086,3965,282,1668452401,Unknown
3345,10.86288,15.93864,3965,282,1668452401,Type30
7165,10.8602,15.92713,3965,282,1668452401,TypeT
4538,10.8629,15.93793,3965,282,1668452401,TypeM
3326,10.85742,15.9372,3965,282,1668452401,Type145
3691,10.85349,15.92958,3965,282,1668452401,Unknown
6325,10.84951,15.93668,3965,282,1668452401,TypeT
4622,10.85901,15.93344,3965,282,1668452401,TypeF
7813,10.85765,15.93718,3965,282,1668452401,TypeT
7371,10.86199,15.935,3965,282,1668452401,TypeE
2211,10.85959,15.93639,3965,282,1668452401,Type30
4370,10.84909,15.93597,3965,282,1668452401,TypeF
2185,10.85612,15.93215,3965,282,1668452401,Type30
6767,10.85122,15.9354,3965,282,1668452401,TypeT
6726,10.85641,15.93329,3965,282,1668452401,TypeF
5054,10.85983,15.93586,3965,282,1668452401,Type145
2574,10.85075,15.92693,3965,282,1668452401,TypeM
1770,10.85985,15.93453,3965,282,1668452401,TypeM
4393,10.85386,15.93135,3965,282,1668452401,TypeT
2740,10.85465,15.93436,3965,282,1668452401,Type29
2091,10.85806,15.93458,3965,282,1668452401,TypeR
1557,10.85339,15.93666,3965,282,1668452401,Unknown
6856,10.86354,15.93883,3965,282,1668452401,TypeE
1317,10.85757,15.9311,3965,282,1668452401,Type29
4300,10.8549,15.93374,3965,282,1668452401,TypeT
8656,10.85776,15.93173,3965,282,1668452401,TypeE
6264,10.69732,16.75762,6948,318,1668452401,TypeF
5387,10.85096,15.94014,3965,282,1668452401,Type2000
3641,6.85727,15.75749,12078,311,1668452401,Type2000
8991,6.86558,15.75561,12078,311,1668452401,TypeF
1691,10.70482,16.75882,6948,318,1668452401,Unknown
7600,10.70279,16.77027,6948,318,1668452401,Type2000
6376,10.70095,16.76689,6948,318,1668452401,TypeT
5486,10.69796,16.75866,6948,318,1668452401,Unknown
4032,6.86202,15.76218,12078,311,1668452401,TypeF
8382,10.85773,15.93338,3965,282,1668452401,TypeM
3900,10.70434,16.76702,6948,318,1668452401,Unknown
3029,10.70394,16.76263,6948,318,1668452401,TypeM
3516,10.70449,16.75445,6948,318,1668452401,Unknown
4921,10.70214,16.76419,6948,318,1668452401,Type29
4141,10.70102,16.76702,6948,318,1668452401,Type30
6544,10.70117,16.77086,6948,318,1668452401,TypeE
8244,9.40343,13.88268,2055,288,1668452402,Type2000
4736,9.39276,13.87573,2055,288,1668452402,TypeR
1349,9.39445,13.87972,2055,288,1668452402,TypeM
7573,9.39918,13.88361,2055,288,1668452402,TypeF
8040,9.39617,13.88373,2055,288,1668452402,TypeT
1899,9.39251,13.8828,2055,288,1668452402,Type29
7618,9.38659,13.88525,2055,288,1668452402,TypeF
4129,9.38837,13.88723,2055,288,1668452402,TypeF
6993,9.39524,13.88112,2055,288,1668452402,Type29
2628,9.39357,13.88214,2055,288,1668452402,TypeT
3329,9.40045,13.8836,2055,288,1668452402,Type30
7029,9.39519,13.88105,2055,288,1668452402,Type145
8998,9.39407,13.87595,2055,288,1668452402,TypeE
7261,9.39917,13.8792,2055,288,1668452402,Type30
5765,9.39443,13.88104,2055,288,1668452402,TypeF
2165,9.39304,13.87422,2055,288,1668452402,Unknown
8205,9.40304,13.88569,2055,288,1668452402,TypeM
7017,9.39604,13.88177,2055,288,1668452402,Unknown
4287,9.39831,13.87827,2055,288,1668452402,TypeR
4665,9.40136,13.87542,2055,288,1668452402,Type145
8303,9.39495,13.88572,2055,288,1668452402,Type145
1710,9.3969,13.8796,2055,288,1668452402,TypeE
1632,9.39261,13.88636,2055,288,1668452402,TypeM
1468,9.39585,13.88603,2055,288,1668452402,TypeR
2805,9.39741,13.88438,2055,288,1668452402,Type29
7148,11.8853,17.09856,5596,283,1668452402,Type2000
1630,11.88735,17.09723,5596,283,1668452402,TypeM
6085,11.89062,17.09198,5596,283,1668452402,TypeE
8509,11.88748,17.09622,5596,283,1668452402,TypeF
3808,11.88864,17.09192,5596,283,1668452402,Type2000
6635,11.8903,17.09089,5596,283,1668452402,TypeF
2035,11.88513,17.09497,5596,283,1668452402,Type145
6283,11.88627,17.09503,5596,283,1668452402,Type145
1546,11.89127,17.09159,5596,283,1668452402,TypeT
5103,11.88661,17.09946,5596,283,1668452402,TypeE
5687,11.89002,17.10404,5596,283,1668452402,Type30
4305,9.39486,13.88694,2055,288,1668452402,Unknown
4885,11.8858,17.09372,5596,283,1668452402,Type145
8175,11.8888,17.10312,5596,283,1668452402,TypeR
3430,11.88442,17.08833,5596,283,1668452402,TypeT
4936,11.88918,17.10549,5596,283,1668452402,Unknown
3914,11.88546,17.09121,5596,283,1668452402,TypeT
8711,11.88525,17.09158,5596,283,1668452402,Type29
1537,11.88249,17.10525,5596,283,1668452402,Unknown
2216,11.88686,17.09616,5596,283,1668452402,TypeR
2665,8.14722,16.12871,10367,317,1668452402,Type30
4989,8.15548,16.12772,10367,317,1668452402,TypeF
8738,8.14031,16.13489,10367,317,1668452402,TypeT
6764,8.15285,16.13508,10367,317,1668452402,Type30
5331,11.88391,17.09824,5596,283,1668452402,Unknown
6238,10.29504,14.72948,2224,318,1668452403,TypeE
7651,10.76759,15.58716,3123,292,1668452403,TypeM
4223,10.4054,16.71297,7056,292,1668452403,TypeR
7875,10.41313,16.71549,7056,292,1668452403,TypeR
1984,10.0499,17.30226,9337,295,1668452403,TypeT
1983,10.04586,17.29421,9337,295,1668452403,TypeE
6075,10.05097,17.30118,9337,295,1668452403,Type29
3949,10.04742,17.28994,9337,295,1668452403,Type145
5788,10.04952,17.29787,9337,295,1668452403,Type145
7895,10.04718,17.2934,9337,295,1668452403,Unknown
6141,10.05153,17.29806,9337,295,1668452403,Type145
5642,10.05495,17.29821,9337,295,1668452403,TypeF
8557,10.04687,17.29212,9337,295,1668452403,TypeF
4407,10.76642,15.59059,3123,292,1668452403,TypeE
4385,10.76951,15.58152,3123,292,1668452403,TypeM
7410,10.76938,15.58586,3123,292,1668452403,Type2000
8570,10.77209,15.58574,3123,292,1668452403,TypeF
8812,10.75971,15.58556,3123,292,1668452403,Unknown
8692,10.7678,15.59248,3123,292,1668452403,Type2000
5201,10.76874,15.58441,3123,292,1668452403,TypeM
6394,10.77037,15.58737,3123,292,1668452403,Type2000
1727,10.77009,15.58863,3123,292,1668452403,Type145
3728,10.77195,15.5911,3123,292,1668452403,Type145
1461,10.77045,15.59066,3123,292,1668452403,Type145
6814,10.77245,15.59151,3123,292,1668452403,Type30
2560,10.7662,15.58375,3123,292,1668452403,TypeM
1069,10.76803,15.59165,3123,292,1668452403,TypeT
1061,10.76697,15.5854,3123,292,1668452403,TypeM
8701,10.76798,15.59267,3123,292,1668452403,TypeM
8101,10.76431,15.59491,3123,292,1668452403,TypeM
7322,10.76622,15.57947,3123,292,1668452403,Type2000
1433,10.76257,15.58166,3123,292,1668452403,TypeT
3636,10.05077,17.2987,9337,295,1668452403,TypeE
2234,10.04906,17.29742,9337,295,1668452403,Type2000
5107,10.76071,15.59051,3123,292,1668452403,TypeE
4956,10.0538,17.29647,9337,295,1668452403,Type30
3243,10.04818,17.29588,9337,295,1668452403,TypeF
7836,10.04765,17.28925,9337,295,1668452403,TypeM
5075,10.04597,17.28825,9337,295,1668452403,Type2000
5715,10.05119,17.29458,9337,295,1668452403,TypeE
2421,10.04186,17.29239,9337,295,1668452403,Type30
5246,10.05185,17.28655,9337,295,1668452403,Unknown
2704,10.04671,17.29275,9337,295,1668452403,TypeM
7905,10.05027,17.28675,9337,295,1668452403,Type2000
3666,10.04605,17.29442,9337,295,1668452403,Type2000
2886,10.04761,17.28786,9337,295,1668452403,TypeR
5521,10.05027,17.28646,9337,295,1668452403,TypeR
8290,10.04837,17.29161,9337,295,1668452403,TypeR
1447,10.05448,17.29764,9337,295,1668452403,Type30
1162,10.0467,17.29047,9337,295,1668452403,TypeM
4665,9.40178,13.8608,2055,288,1668452404,Type145
1349,9.39973,13.85547,2055,288,1668452404,TypeM
7573,9.40422,13.86258,2055,288,1668452404,TypeF
8040,9.40303,13.86409,2055,288,1668452404,TypeT
1899,9.39568,13.86291,2055,288,1668452404,Type29
7618,9.39947,13.8621,2055,288,1668452404,TypeF
4129,9.39941,13.86281,2055,288,1668452404,TypeF
6919,7.10605,22.91259,32102,309,1668452404,Type145
2628,9.39218,13.86147,2055,288,1668452404,TypeT
1710,9.40431,13.85719,2055,288,1668452404,TypeE
7029,9.40136,13.86,2055,288,1668452404,Type145
8998,9.4002,13.8554,2055,288,1668452404,TypeE
7261,9.40324,13.86,2055,288,1668452404,Type30
5665,7.10194,22.91652,32102,309,1668452404,TypeF
1632,9.39827,13.86649,2055,288,1668452404,TypeM
8244,9.40903,13.86199,2055,288,1668452404,Type2000
7519,9.4057,13.86196,2055,288,1668452404,TypeM
8330,9.39881,13.85455,2055,288,1668452404,Type29
1396,9.40519,13.86094,2055,288,1668452404,Type29
4023,7.10714,22.90573,32102,309,1668452404,Unknown
4671,9.40565,13.86768,2055,288,1668452404,Type2000
3844,9.40108,13.86284,2055,288,1668452404,TypeR
3289,9.40396,13.86463,2055,288,1668452404,TypeF
1247,9.40001,13.86249,2055,288,1668452404,Unknown
4305,9.40102,13.86493,2055,288,1668452404,Unknown
5713,9.40517,13.86407,2055,288,1668452404,TypeT
2805,9.40635,13.86635,2055,288,1668452404,Type29
6901,9.40126,13.8663,2055,288,1668452404,Unknown
6584,9.40346,13.86446,2055,288,1668452404,Type29
2829,9.40409,13.86879,2055,288,1668452404,Unknown
5603,9.40811,13.85953,2055,288,1668452404,Type30
2032,9.39968,13.86123,2055,288,1668452404,Type30
1027,9.39711,13.85655,2055,288,1668452404,Type30
5876,9.3994,13.86229,2055,288,1668452404,TypeT
8574,9.40352,13.85732,2055,288,1668452404,TypeE
5356,9.40504,13.85656,2055,288,1668452404,TypeF
3487,7.10356,22.91767,32102,309,1668452404,TypeM
2092,7.09831,22.90911,32102,309,1668452404,TypeR
8183,7.10302,22.91237,32102,309,1668452404,Type29
1583,14.20769,14.3711,845,213,1668452404,Unknown
3566,14.20427,14.38438,845,213,1668452404,Type2000
8602,14.20795,14.37773,845,213,1668452404,Type145
7773,14.20806,14.37741,845,213,1668452404,Unknown
2073,14.20534,14.3835,845,213,1668452404,Type29
6956,14.20261,14.37634,845,213,1668452404,TypeT
1862,14.20802,14.38781,845,213,1668452404,Type2000
2937,14.20276,14.3775,845,213,1668452404,TypeR
5390,14.2017,14.37182,845,213,1668452404,Type30
6496,14.20884,14.37858,845,213,1668452404,TypeR
5992,14.20625,14.38268,845,213,1668452404,TypeM
8759,7.0058,15.56614,12078,311,1668452405,Type29
2808,7.01124,15.57122,12078,311,1668452405,Type29
3232,7.00636,15.5671,12078,311,1668452405,Type30
7939,7.00704,15.57463,12078,311,1668452405,TypeF
5255,7.00891,15.56289,12078,311,1668452405,TypeM
1357,7.00772,15.57496,12078,311,1668452405,Type29
3554,7.0007,15.56436,12078,311,1668452405,TypeF
3281,7.01297,15.56467,12078,311,1668452405,TypeT
5135,6.99713,15.56956,12078,311,1668452405,TypeE
3641,7.00504,15.56738,12078,311,1668452405,Type2000
4032,7.00894,15.57136,12078,311,1668452405,TypeF
3808,11.90647,17.00262,5596,283,1668452405,Type2000
6635,11.90684,17.00366,5596,283,1668452405,TypeF
2035,11.90017,17.0039,5596,283,1668452405,Type145
6283,11.90086,16.99924,5596,283,1668452405,Type145
8991,7.01227,15.56512,12078,311,1668452405,TypeF
2180,7.00896,15.56728,12078,311,1668452405,TypeT
8862,7.00284,15.56616,12078,311,1668452405,Unknown
4514,7.0046,15.57053,12078,311,1668452405,Type30
5509,7.00485,15.56787,12078,311,1668452405,Type30
4280,7.00267,15.56542,12078,311,1668452405,TypeT
6478,7.0056,15.56783,12078,311,1668452405,TypeE
8863,7.00701,15.57503,12078,311,1668452405,TypeM
7272,7.00703,15.56311,12078,311,1668452405,TypeF
3909,6.99824,15.56301,12078,311,1668452405,TypeT
7148,11.9024,17.01047,5596,283,1668452405,Type2000
1630,11.90835,17.0144,5596,283,1668452405,TypeM
6085,11.905,17.00666,5596,283,1668452405,TypeE
8509,11.90867,17.00711,5596,283,1668452405,TypeF
5336,7.00471,15.56847,12078,311,1668452405,Type29
7537,7.00651,15.56604,12078,311,1668452405,TypeM
8994,7.00021,15.56216,12078,311,1668452405,TypeT
